scenario,year,population_millions,electricity_supply_twh,electricity_demand_twh,electricity_coverage_ratio,food_adequacy_pct,effective_renewable_water_km3,freshwater_withdrawal_km3,renewable_water_per_capita_m3,withdrawal_share_pct
Investment and efficiency,2033,124.049028,156.76909711988307,141.3076202700091,1.1094171483486195,137.8491609298312,486.71786312933926,94.43498017141751,3923.59271956036,19.40240688193574
Investment and efficiency,2034,124.904114,161.67140346645985,143.77082524253237,1.1245077239678518,138.7525434551993,487.69129885559784,94.51541711189356,3904.52550550575,19.380172935970084
Investment and efficiency,2035,125.740972,166.65350376483266,146.20861715394744,1.139833663766604,139.62527663545595,488.6666814533091,94.57777871219771,3886.296357350483,19.35425153827157
Investment and efficiency,2036,126.55822599999999,171.71650104837593,148.61851488398236,1.1554179584046094,140.47057307692944,489.6440148162157,94.6213324760945,3868.9228688794656,19.32451528313073
Investment and efficiency,2037,127.352596,176.861512596676,150.99574297295692,1.1713013169407802,141.291333582248,490.6233028458482,94.64395221408118,3852.479794332957,19.290553804742114
Investment and efficiency,2038,128.118527,182.08967011349355,153.33268360370388,1.1875463588970605,142.0901775054831,491.6045494515399,94.64188609585712,3837.1074111048742,19.25162942479776
Investment and efficiency,2039,128.850041,187.40211990691057,155.62099434481667,1.2042213243521307,142.86947015248833,492.58775855044297,94.61116609891955,3822.953836316148,19.20696656720327
Investment and efficiency,2040,129.546659,192.8000230716879,157.85881136420687,1.221344702937524,143.63134751405974,493.57293406754377,94.55193816644449,3810.0012603763385,19.156629474643232
Investment and efficiency,2041,130.209802,198.2845556738602,160.04662741579625,1.238917425974388,144.37773859154512,494.56007993567886,94.46572923570929,3798.1785728825457,19.10096125186555
Investment and efficiency,2042,130.836996,203.85690893759627,162.18020766781797,1.256977727856544,145.1103855492572,495.54920009555025,94.35122683560093,3787.5311666094067,19.039729418876757
Investment and efficiency,2043,131.42739300000002,209.51828943435103,164.25728719663977,1.275549432297194,145.8308619052331,496.54029849574135,94.20832128199079,3778.0578855105286,18.972945714052408
Investment and efficiency,2044,131.97966399999999,215.2699192743379,166.2750019409271,1.2946619561659505,146.54058895129137,497.53337909273284,94.03656887014705,3769.773039373194,18.900554781193893
Investment and efficiency,2045,132.492032,221.11303630035007,168.22990758718814,1.3143503403861427,147.24085057474807,498.52844585091833,93.83522536746453,3762.7051100772483,18.82244155743228
Investment and efficiency,2046,132.962,227.04889428395774,170.11761137707222,1.3346583722051866,147.93280663737934,499.52550274262023,93.60306376686083,3756.9042489028466,18.738395387810595
Investment and efficiency,2047,133.38528599999998,233.07876312411187,171.93136729931967,1.3556500293418776,148.6175050520681,500.52455374810546,93.33764385638646,3752.472021150111,18.647965051352838
Investment and efficiency,2048,133.75942999999998,239.20392904818254,173.66667909376957,1.377373773117564,149.2958926839065,501.5256028556017,93.03785801032517,3749.459779064562,18.55096878017461
Investment and efficiency,2049,134.089,245.42569481546212,175.32819754980696,1.3998073227538996,149.96882519018223,502.52865406131286,92.7074915218315,3747.7246758594133,18.44820007229287
Investment and efficiency,2050,134.37343900000002,251.7453799231629,176.9140407081596,1.4229813468476837,150.63707590254012,503.5337113694355,92.34672426605265,3747.2711505838247,18.33973022678102
Investment and efficiency,2051,134.61261100000002,258.16432081493923,178.42290913102585,1.4469236157636844,151.30134384455505,504.5407787921743,91.95602613642941,3748.094439622557,18.225687595869644
Investment and efficiency,2052,134.805056,264.6838710919659,179.8517762065109,1.4716778264566506,151.96226096887685,505.5498603497587,91.53496346149676,3750.229222483752,18.10602091713948
Investment and efficiency,2053,134.952918,271.3054017266019,181.20244784157484,1.4972502025127385,152.6203986899153,506.5609600704582,91.08555212976175,3753.6125011424956,17.981163040494188
Investment and efficiency,2054,135.064723,278.03030127867333,182.48546847079353,1.523575020019589,153.27627378063866,507.5740819905991,90.61404806750515,3758.0063151693516,17.85237885120845
Investment and efficiency,2055,135.13913,284.8599761144053,183.69829180408522,1.5506947468962278,153.93035369538376,508.5892301545803,90.11998343854081,3763.4490480631357,17.719601221431645
